load_container;start_container;start_application;stop_container;remove_container;remove_image;image_size;application;service;deployment_type;date_time
15609299032;32108619087;828730997;3266070494;815532757;497961278;4096;postgres;lxc;vm;2024-07-14 09:43:48
15530678538;32035109002;764624681;3463802086;821362936;544464000;4096;postgres;lxc;vm;2024-07-14 09:44:40
15164600348;33315867038;990235458;3473142127;966507795;770400203;4096;postgres;lxc;vm;2024-07-14 09:45:35
17848267935;31860601196;723402124;3392244378;816985587;498583453;4096;postgres;lxc;vm;2024-07-14 09:46:29
15149649951;32098783103;745444051;3293811918;815520163;499210380;4096;postgres;lxc;vm;2024-07-14 09:47:21
13883728050;32497234349;982127644;3130300475;817470522;500250280;4096;postgres;lxc;vm;2024-07-14 09:48:12
15485046029;32321803422;741130411;3623291797;891438154;503679958;4096;postgres;lxc;vm;2024-07-14 09:49:05
15319562901;31899319719;809365302;3308829051;823946073;504711904;4096;postgres;lxc;vm;2024-07-14 09:49:57
15404219260;32711722090;747457565;3324715945;818616751;498293159;4096;postgres;lxc;vm;2024-07-14 09:50:50
15973999372;31895034910;711040644;3320167142;825896650;500272552;4096;postgres;lxc;vm;2024-07-14 09:51:42
14084400253;32006016810;846463556;3233839493;829688835;501224390;4096;postgres;lxc;vm;2024-07-14 09:52:33
15470135121;31603629146;770156816;3163844513;813187023;500284049;4096;postgres;lxc;vm;2024-07-14 09:53:25
13912577579;31937609669;1411136645;3642666321;1022510398;569971502;4096;postgres;lxc;vm;2024-07-14 09:54:17
15282002148;31875086338;723715707;3283825105;975286745;505234003;4096;postgres;lxc;vm;2024-07-14 09:55:09
15451280755;32123542009;802621008;3378670180;840084095;527135444;4096;postgres;lxc;vm;2024-07-14 09:56:01
15478355435;32325321130;859689025;3265492211;845097670;512367885;4096;postgres;lxc;vm;2024-07-14 09:56:54
13942399166;32028967212;865647566;3212234264;822778846;499055279;4096;postgres;lxc;vm;2024-07-14 09:57:45
15320982359;32380716791;718770351;3358071555;817337819;497641056;4096;postgres;lxc;vm;2024-07-14 09:58:37
15362295518;31610944062;938440115;3230726189;820973198;498907065;4096;postgres;lxc;vm;2024-07-14 09:59:29
15481975335;32903676488;1077585515;3364407541;976620016;553184597;4096;postgres;lxc;vm;2024-07-14 10:00:22
14909785717;31199080940;790344425;3300569855;823759705;500349014;4096;postgres;lxc;vm;2024-07-14 10:01:13
15852227068;32268830437;815583666;3373922179;818502878;499727395;4096;postgres;lxc;vm;2024-07-14 10:02:06
14569029126;32593101107;817236600;3228456263;821202373;500130573;4096;postgres;lxc;vm;2024-07-14 10:02:58
15303365123;31647848393;827256619;3277594432;821588572;498164269;4096;postgres;lxc;vm;2024-07-14 10:03:49
15298516954;32685915700;817928457;3385750690;817048481;501795145;4096;postgres;lxc;vm;2024-07-14 10:04:42
15302907206;31767545934;755153403;3349426131;816934927;500432947;4096;postgres;lxc;vm;2024-07-14 10:05:34
8478859622;17699821174;8682932;2148155512;583587617;248565470;2048;rabbitmq;lxc;vm;2024-07-18 07:22:41
6630534566;18474924801;9049623;2304645656;818965225;327159056;2048;rabbitmq;lxc;vm;2024-07-18 07:23:10
6901519583;17877913854;7195330;2219955462;558131835;253688707;2048;rabbitmq;lxc;vm;2024-07-18 07:23:38
6754111575;17507941814;7681296;2166595523;554221282;254620936;2048;rabbitmq;lxc;vm;2024-07-18 07:24:05
6673029772;17854234027;14206665;2127104681;546760769;257097647;2048;rabbitmq;lxc;vm;2024-07-18 07:24:32
6681833856;17879899542;7967089;2280974570;574864544;313619277;2048;rabbitmq;lxc;vm;2024-07-18 07:25:00
6687233941;18324680725;8385689;2201465412;549199572;254653589;2048;rabbitmq;lxc;vm;2024-07-18 07:25:28
6676883019;17416230259;10289266;2094175739;561336794;254973019;2048;rabbitmq;lxc;vm;2024-07-18 07:25:55
6812059852;18055994717;8414786;2205857352;554307566;253360886;2048;rabbitmq;lxc;vm;2024-07-18 07:26:23
6654247190;17885375888;9559919;2168742611;544995764;254116699;2048;rabbitmq;lxc;vm;2024-07-18 07:26:51
6730147514;18129392104;7741892;2089037619;543122779;254827788;2048;rabbitmq;lxc;vm;2024-07-18 07:27:19
6726080702;17546214965;7072609;2174078010;548664633;253011646;2048;rabbitmq;lxc;vm;2024-07-18 07:27:46
6680820904;17699282605;7403930;2102233069;553571851;254621515;2048;rabbitmq;lxc;vm;2024-07-18 07:28:13
6655900819;17770808229;8437900;2142082024;555733036;253894479;2048;rabbitmq;lxc;vm;2024-07-18 07:28:41
6768711486;17910474106;11062801;2211781387;557640998;254327802;2048;rabbitmq;lxc;vm;2024-07-18 07:29:09
7056167164;17942020780;7663111;2210346822;547106803;257652467;2048;rabbitmq;lxc;vm;2024-07-18 07:29:37
6849858065;17888654066;7725868;2208388095;549019416;254532719;2048;rabbitmq;lxc;vm;2024-07-18 07:30:05
6713839254;17947996505;7845613;2180187924;550956723;254323737;2048;rabbitmq;lxc;vm;2024-07-18 07:30:32
6797608636;17885217992;17648785;91111570197;605330187;253794533;2048;rabbitmq;lxc;vm;2024-07-18 07:32:29
7487547098;17521063421;8048264;2038072897;581090734;254695198;2048;rabbitmq;lxc;vm;2024-07-18 07:32:57
6880511920;17829009197;7649128;2112137964;556603799;255646912;2048;rabbitmq;lxc;vm;2024-07-18 07:33:25
6806045168;18666108536;9877440;2265494397;701707166;378008948;2048;rabbitmq;lxc;vm;2024-07-18 07:33:54
6832862551;18026626869;6638253;2119495641;551882896;255898413;2048;rabbitmq;lxc;vm;2024-07-18 07:34:21
